id,creation_time,property1,property2,property3,property4,property5,failed,failed_reason,time_of_death,details,type,network_id,participant_id,awaiting_async_process,pending_async_processes,failed_async_processes,degree,child_id,seed,definition,vertex_id,dependent_vertex_ids,target_num_trials,stimulus_id,phase,participant_group,block,has_media,s3_bucket,remote_media_dir,media_id
10,2022-12-02 17:31:37.963742,,,,,,f,,,"{""propagate_failure"": ""true""}",graph_chain_node,6,,f,{},{},1,139,"[{""content"": [2, 2, 2, 0, 0, 1, 2, 0, 2], ""is_center"": true, ""vertex_id"": 4}, {""content"": [2, 0, 1, 0, 1, 0, 1, 1, 0], ""is_center"": false, ""vertex_id"": 3}, {""content"": [2, 2, 2, 1, 0, 2, 1, 1, 2], ""is_center"": false, ""vertex_id"": 5}, {""content"": [1, 2, 2, 2, 2, 0, 2, 0, 1], ""is_center"": false, ""vertex_id"": 46}, {""content"": [2, 0, 2, 1, 1, 0, 2, 0, 0], ""is_center"": false, ""vertex_id"": 11}]","[{""content"": [2, 2, 2, 0, 0, 1, 2, 0, 2], ""is_center"": true, ""vertex_id"": 4}, {""content"": [2, 0, 1, 0, 1, 0, 1, 1, 0], ""is_center"": false, ""vertex_id"": 3}, {""content"": [2, 2, 2, 1, 0, 2, 1, 1, 2], ""is_center"": false, ""vertex_id"": 5}, {""content"": [1, 2, 2, 2, 2, 0, 2, 0, 1], ""is_center"": false, ""vertex_id"": 46}, {""content"": [2, 0, 2, 1, 1, 0, 2, 0, 0], ""is_center"": false, ""vertex_id"": 11}]",4,"[3, 5, 46, 11]",,,,,,,,,
12,2022-12-02 17:31:38.005632,,,,,,f,,,"{""propagate_failure"": ""true""}",graph_chain_node,7,,f,{},{},1,152,"[{""content"": [2, 2, 2, 1, 0, 2, 1, 1, 2], ""is_center"": true, ""vertex_id"": 5}, {""content"": [2, 2, 2, 0, 0, 1, 2, 0, 2], ""is_center"": false, ""vertex_id"": 4}, {""content"": [2, 0, 1, 0, 0, 0, 0, 1, 0], ""is_center"": false, ""vertex_id"": 6}, {""content"": [2, 1, 2, 2, 1, 0, 1, 1, 1], ""is_center"": false, ""vertex_id"": 47}, {""content"": [2, 2, 0, 2, 1, 0, 1, 1, 2], ""is_center"": false, ""vertex_id"": 12}]","[{""content"": [2, 2, 2, 1, 0, 2, 1, 1, 2], ""is_center"": true, ""vertex_id"": 5}, {""content"": [2, 2, 2, 0, 0, 1, 2, 0, 2], ""is_center"": false, ""vertex_id"": 4}, {""content"": [2, 0, 1, 0, 0, 0, 0, 1, 0], ""is_center"": false, ""vertex_id"": 6}, {""content"": [2, 1, 2, 2, 1, 0, 1, 1, 1], ""is_center"": false, ""vertex_id"": 47}, {""content"": [2, 2, 0, 2, 1, 0, 1, 1, 2], ""is_center"": false, ""vertex_id"": 12}]",5,"[4, 6, 47, 12]",,,,,,,,,
15,2022-12-02 17:31:38.079273,,,,,,f,,,{},graph_chain_source,9,,f,{},{},,,"[{""content"": [2, 2, 2, 1, 1, 2, 0, 1, 2], ""is_center"": true, ""vertex_id"": 7}, {""content"": [0, 0, 0, 0, 1, 1, 1, 0, 2], ""is_center"": false, ""vertex_id"": 0}, {""content"": [2, 0, 0, 0, 2, 0, 2, 2, 0], ""is_center"": false, ""vertex_id"": 8}, {""content"": [2, 1, 0, 2, 0, 0, 0, 0, 1], ""is_center"": false, ""vertex_id"": 13}, {""content"": [0, 1, 1, 0, 1, 2, 2, 1, 2], ""is_center"": false, ""vertex_id"": 14}]",{},,,,,,,,,,,
17,2022-12-02 17:31:38.120955,,,,,,f,,,{},graph_chain_source,10,,f,{},{},,,"[{""content"": [2, 0, 0, 0, 2, 0, 2, 2, 0], ""is_center"": true, ""vertex_id"": 8}, {""content"": [2, 2, 2, 1, 1, 2, 0, 1, 2], ""is_center"": false, ""vertex_id"": 7}, {""content"": [1, 1, 0, 2, 2, 1, 1, 2, 2], ""is_center"": false, ""vertex_id"": 1}, {""content"": [2, 2, 0, 0, 1, 2, 2, 1, 1], ""is_center"": false, ""vertex_id"": 9}, {""content"": [2, 1, 0, 0, 2, 2, 0, 0, 1], ""is_center"": false, ""vertex_id"": 15}]",{},,,,,,,,,,,
901,2022-12-02 19:47:26.168455,,,,,,f,,,"{""propagate_failure"": ""true""}",graph_chain_node,48,,f,{},{},18,969,"[{""content"": [2, 2, 2, 2, 2, 2, 2, 2, 2], ""is_center"": true, ""vertex_id"": 46}, {""content"": [1, 1, 1, 1, 1, 1, 1, 1, 1], ""is_center"": false, ""vertex_id"": 45}, {""content"": [1, 1, 1, 1, 1, 1, 1, 1, 1], ""is_center"": false, ""vertex_id"": 39}, {""content"": [1, 1, 1, 1, 1, 1, 1, 1, 1], ""is_center"": false, ""vertex_id"": 47}, {""content"": [1, 1, 1, 1, 1, 1, 1, 1, 1], ""is_center"": false, ""vertex_id"": 4}]","[{""content"": [2, 2, 2, 2, 2, 2, 2, 2, 2], ""is_center"": true, ""vertex_id"": 46}, {""content"": [1, 1, 1, 1, 1, 1, 1, 1, 1], ""is_center"": false, ""vertex_id"": 45}, {""content"": [1, 1, 1, 1, 1, 1, 1, 1, 1], ""is_center"": false, ""vertex_id"": 39}, {""content"": [1, 1, 1, 1, 1, 1, 1, 1, 1], ""is_center"": false, ""vertex_id"": 47}, {""content"": [1, 1, 1, 1, 1, 1, 1, 1, 1], ""is_center"": false, ""vertex_id"": 4}]",46,"[4, 45, 39, 47]",,,,,,,,,
14,2022-12-02 17:31:38.055945,,,,,,f,,,"{""propagate_failure"": ""true""}",graph_chain_node,8,,f,{},{},1,129,"[{""content"": [2, 0, 1, 0, 0, 0, 0, 1, 0], ""is_center"": true, ""vertex_id"": 6}, {""content"": [2, 2, 2, 1, 0, 2, 1, 1, 2], ""is_center"": false, ""vertex_id"": 5}, {""content"": [0, 0, 1, 0, 0, 2, 2, 2, 2], ""is_center"": false, ""vertex_id"": 48}, {""content"": [0, 0, 0, 0, 1, 1, 1, 0, 2], ""is_center"": false, ""vertex_id"": 0}, {""content"": [2, 1, 0, 2, 0, 0, 0, 0, 1], ""is_center"": false, ""vertex_id"": 13}]","[{""content"": [2, 0, 1, 0, 0, 0, 0, 1, 0], ""is_center"": true, ""vertex_id"": 6}, {""content"": [2, 2, 2, 1, 0, 2, 1, 1, 2], ""is_center"": false, ""vertex_id"": 5}, {""content"": [0, 0, 1, 0, 0, 2, 2, 2, 2], ""is_center"": false, ""vertex_id"": 48}, {""content"": [0, 0, 0, 0, 1, 1, 1, 0, 2], ""is_center"": false, ""vertex_id"": 0}, {""content"": [2, 1, 0, 2, 0, 0, 0, 0, 1], ""is_center"": false, ""vertex_id"": 13}]",6,"[5, 48, 0, 13]",,,,,,,,,
16,2022-12-02 17:31:38.094742,,,,,,f,,,"{""propagate_failure"": ""true""}",graph_chain_node,9,,f,{},{},1,130,"[{""content"": [2, 2, 2, 1, 1, 2, 0, 1, 2], ""is_center"": true, ""vertex_id"": 7}, {""content"": [0, 0, 0, 0, 1, 1, 1, 0, 2], ""is_center"": false, ""vertex_id"": 0}, {""content"": [2, 0, 0, 0, 2, 0, 2, 2, 0], ""is_center"": false, ""vertex_id"": 8}, {""content"": [2, 1, 0, 2, 0, 0, 0, 0, 1], ""is_center"": false, ""vertex_id"": 13}, {""content"": [0, 1, 1, 0, 1, 2, 2, 1, 2], ""is_center"": false, ""vertex_id"": 14}]","[{""content"": [2, 2, 2, 1, 1, 2, 0, 1, 2], ""is_center"": true, ""vertex_id"": 7}, {""content"": [0, 0, 0, 0, 1, 1, 1, 0, 2], ""is_center"": false, ""vertex_id"": 0}, {""content"": [2, 0, 0, 0, 2, 0, 2, 2, 0], ""is_center"": false, ""vertex_id"": 8}, {""content"": [2, 1, 0, 2, 0, 0, 0, 0, 1], ""is_center"": false, ""vertex_id"": 13}, {""content"": [0, 1, 1, 0, 1, 2, 2, 1, 2], ""is_center"": false, ""vertex_id"": 14}]",7,"[0, 8, 13, 14]",,,,,,,,,
19,2022-12-02 17:31:38.158761,,,,,,f,,,{},graph_chain_source,11,,f,{},{},,,"[{""content"": [2, 2, 0, 0, 1, 2, 2, 1, 1], ""is_center"": true, ""vertex_id"": 9}, {""content"": [2, 0, 0, 0, 2, 0, 2, 2, 0], ""is_center"": false, ""vertex_id"": 8}, {""content"": [0, 0, 1, 2, 1, 2, 0, 2, 2], ""is_center"": false, ""vertex_id"": 2}, {""content"": [2, 2, 1, 2, 1, 2, 0, 2, 1], ""is_center"": false, ""vertex_id"": 10}, {""content"": [2, 0, 1, 2, 2, 2, 0, 1, 0], ""is_center"": false, ""vertex_id"": 16}]",{},,,,,,,,,,,
228,2022-12-02 18:08:34.67705,,,,,,f,,,"{""propagate_failure"": ""true""}",graph_chain_node,18,,f,{},{},4,299,"[{""content"": [1, 0, 1, 0, 2, 0, 1, 0, 1], ""is_center"": true, ""vertex_id"": 16}, {""content"": [1, 1, 1, 1, 1, 1, 1, 1, 1], ""is_center"": false, ""vertex_id"": 23}, {""content"": [1, 2, 0, 2, 1, 0, 1, 2, 0], ""is_center"": false, ""vertex_id"": 15}, {""content"": [1, 1, 1, 1, 1, 1, 1, 1, 1], ""is_center"": false, ""vertex_id"": 17}, {""content"": [1, 1, 1, 1, 0, 1, 1, 1, 1], ""is_center"": false, ""vertex_id"": 9}]","[{""content"": [1, 0, 1, 0, 2, 0, 1, 0, 1], ""is_center"": true, ""vertex_id"": 16}, {""content"": [1, 1, 1, 1, 1, 1, 1, 1, 1], ""is_center"": false, ""vertex_id"": 23}, {""content"": [1, 2, 0, 2, 1, 0, 1, 2, 0], ""is_center"": false, ""vertex_id"": 15}, {""content"": [1, 1, 1, 1, 1, 1, 1, 1, 1], ""is_center"": false, ""vertex_id"": 17}, {""content"": [1, 1, 1, 1, 0, 1, 1, 1, 1], ""is_center"": false, ""vertex_id"": 9}]",16,"[15, 9, 17, 23]",,,,,,,,,
21,2022-12-02 17:31:38.198228,,,,,,f,,,{},graph_chain_source,12,,f,{},{},,,"[{""content"": [2, 2, 1, 2, 1, 2, 0, 2, 1], ""is_center"": true, ""vertex_id"": 10}, {""content"": [2, 2, 0, 0, 1, 2, 2, 1, 1], ""is_center"": false, ""vertex_id"": 9}, {""content"": [2, 0, 1, 0, 1, 0, 1, 1, 0], ""is_center"": false, ""vertex_id"": 3}, {""content"": [2, 0, 2, 1, 1, 0, 2, 0, 0], ""is_center"": false, ""vertex_id"": 11}, {""content"": [0, 1, 0, 1, 1, 1, 1, 1, 0], ""is_center"": false, ""vertex_id"": 17}]",{},,,,,,,,,,,
18,2022-12-02 17:31:38.135546,,,,,,f,,,"{""propagate_failure"": ""true""}",graph_chain_node,10,,f,{},{},1,119,"[{""content"": [2, 0, 0, 0, 2, 0, 2, 2, 0], ""is_center"": true, ""vertex_id"": 8}, {""content"": [2, 2, 2, 1, 1, 2, 0, 1, 2], ""is_center"": false, ""vertex_id"": 7}, {""content"": [1, 1, 0, 2, 2, 1, 1, 2, 2], ""is_center"": false, ""vertex_id"": 1}, {""content"": [2, 2, 0, 0, 1, 2, 2, 1, 1], ""is_center"": false, ""vertex_id"": 9}, {""content"": [2, 1, 0, 0, 2, 2, 0, 0, 1], ""is_center"": false, ""vertex_id"": 15}]","[{""content"": [2, 0, 0, 0, 2, 0, 2, 2, 0], ""is_center"": true, ""vertex_id"": 8}, {""content"": [2, 2, 2, 1, 1, 2, 0, 1, 2], ""is_center"": false, ""vertex_id"": 7}, {""content"": [1, 1, 0, 2, 2, 1, 1, 2, 2], ""is_center"": false, ""vertex_id"": 1}, {""content"": [2, 2, 0, 0, 1, 2, 2, 1, 1], ""is_center"": false, ""vertex_id"": 9}, {""content"": [2, 1, 0, 0, 2, 2, 0, 0, 1], ""is_center"": false, ""vertex_id"": 15}]",8,"[7, 1, 9, 15]",,,,,,,,,
20,2022-12-02 17:31:38.17396,,,,,,f,,,"{""propagate_failure"": ""true""}",graph_chain_node,11,,f,{},{},1,140,"[{""content"": [2, 2, 0, 0, 1, 2, 2, 1, 1], ""is_center"": true, ""vertex_id"": 9}, {""content"": [2, 0, 0, 0, 2, 0, 2, 2, 0], ""is_center"": false, ""vertex_id"": 8}, {""content"": [0, 0, 1, 2, 1, 2, 0, 2, 2], ""is_center"": false, ""vertex_id"": 2}, {""content"": [2, 2, 1, 2, 1, 2, 0, 2, 1], ""is_center"": false, ""vertex_id"": 10}, {""content"": [2, 0, 1, 2, 2, 2, 0, 1, 0], ""is_center"": false, ""vertex_id"": 16}]","[{""content"": [2, 2, 0, 0, 1, 2, 2, 1, 1], ""is_center"": true, ""vertex_id"": 9}, {""content"": [2, 0, 0, 0, 2, 0, 2, 2, 0], ""is_center"": false, ""vertex_id"": 8}, {""content"": [0, 0, 1, 2, 1, 2, 0, 2, 2], ""is_center"": false, ""vertex_id"": 2}, {""content"": [2, 2, 1, 2, 1, 2, 0, 2, 1], ""is_center"": false, ""vertex_id"": 10}, {""content"": [2, 0, 1, 2, 2, 2, 0, 1, 0], ""is_center"": false, ""vertex_id"": 16}]",9,"[8, 2, 10, 16]",,,,,,,,,
23,2022-12-02 17:31:38.236752,,,,,,f,,,{},graph_chain_source,13,,f,{},{},,,"[{""content"": [2, 0, 2, 1, 1, 0, 2, 0, 0], ""is_center"": true, ""vertex_id"": 11}, {""content"": [2, 2, 1, 2, 1, 2, 0, 2, 1], ""is_center"": false, ""vertex_id"": 10}, {""content"": [2, 2, 2, 0, 0, 1, 2, 0, 2], ""is_center"": false, ""vertex_id"": 4}, {""content"": [2, 2, 0, 2, 1, 0, 1, 1, 2], ""is_center"": false, ""vertex_id"": 12}, {""content"": [2, 2, 0, 2, 1, 0, 0, 1, 2], ""is_center"": false, ""vertex_id"": 18}]",{},,,,,,,,,,,
