id,creation_time,property1,property2,property3,property4,property5,failed,failed_reason,time_of_death,details,type,max_size,full,role,awaiting_async_process,pending_async_processes,failed_async_processes,trial_maker_id,target_num_trials,participant_id,id_within_participant,vertex_id,dependent_vertex_ids,source_seed,participant_group,block
16,2023-04-10 21:02:09.281019,,,,,,f,,,"{""chain_type"": ""\""across\"""", ""definition"": ""{}"", ""trials_per_node"": ""1"", ""participant_group"": ""\""default\""""}",graph_chain_network,22,t,experiment,f,{},{},graph_experiment,20,,,2,"[32, 45, 15, 17]","[{""vertex_id"": 2, ""content"": [1, 0, 1, 1, 2, 2, 1, 1, 1], ""is_center"": true}, {""vertex_id"": 32, ""content"": [0, 2, 0, 2, 2, 2, 2, 1, 1], ""is_center"": false}, {""vertex_id"": 45, ""content"": [2, 2, 1, 0, 2, 1, 2, 0, 1], ""is_center"": false}, {""vertex_id"": 15, ""content"": [1, 1, 1, 1, 2, 0, 0, 0, 0], ""is_center"": false}, {""vertex_id"": 17, ""content"": [0, 0, 1, 2, 0, 2, 2, 0, 0], ""is_center"": false}]",,
17,2023-04-10 21:02:09.316906,,,,,,f,,,"{""chain_type"": ""\""across\"""", ""definition"": ""{}"", ""trials_per_node"": ""1"", ""participant_group"": ""\""default\""""}",graph_chain_network,22,t,experiment,f,{},{},graph_experiment,20,,,32,"[20, 2, 9, 35]","[{""vertex_id"": 32, ""content"": [0, 2, 0, 2, 2, 2, 2, 1, 1], ""is_center"": true}, {""vertex_id"": 20, ""content"": [2, 0, 1, 1, 0, 0, 0, 1, 0], ""is_center"": false}, {""vertex_id"": 2, ""content"": [1, 0, 1, 1, 2, 2, 1, 1, 1], ""is_center"": false}, {""vertex_id"": 9, ""content"": [2, 2, 0, 2, 1, 1, 2, 2, 2], ""is_center"": false}, {""vertex_id"": 35, ""content"": [2, 2, 2, 0, 2, 2, 0, 1, 1], ""is_center"": false}]",,
22,2023-04-10 21:02:09.489928,,,,,,f,,,"{""chain_type"": ""\""across\"""", ""definition"": ""{}"", ""trials_per_node"": ""1"", ""participant_group"": ""\""default\""""}",graph_chain_network,22,t,experiment,f,{},{},graph_experiment,20,,,36,"[11, 12, 18, 15]","[{""vertex_id"": 36, ""content"": [1, 2, 0, 1, 0, 1, 2, 2, 0], ""is_center"": true}, {""vertex_id"": 11, ""content"": [2, 1, 1, 1, 1, 2, 2, 2, 1], ""is_center"": false}, {""vertex_id"": 12, ""content"": [2, 2, 2, 1, 1, 1, 2, 1, 2], ""is_center"": false}, {""vertex_id"": 18, ""content"": [2, 1, 1, 0, 0, 0, 0, 2, 2], ""is_center"": false}, {""vertex_id"": 15, ""content"": [1, 1, 1, 1, 2, 0, 0, 0, 0], ""is_center"": false}]",,
32,2023-04-10 21:02:09.856526,,,,,,f,,,"{""chain_type"": ""\""across\"""", ""definition"": ""{}"", ""trials_per_node"": ""1"", ""participant_group"": ""\""default\""""}",graph_chain_network,22,t,experiment,f,{},{},graph_experiment,20,,,21,"[24, 41, 43, 27]","[{""vertex_id"": 21, ""content"": [1, 2, 0, 0, 2, 1, 1, 2, 1], ""is_center"": true}, {""vertex_id"": 24, ""content"": [0, 1, 1, 2, 1, 1, 1, 0, 2], ""is_center"": false}, {""vertex_id"": 41, ""content"": [1, 2, 2, 1, 0, 0, 0, 2, 2], ""is_center"": false}, {""vertex_id"": 43, ""content"": [1, 0, 1, 1, 2, 1, 0, 2, 1], ""is_center"": false}, {""vertex_id"": 27, ""content"": [2, 0, 1, 2, 1, 0, 0, 2, 2], ""is_center"": false}]",,
24,2023-04-10 21:02:09.558401,,,,,,f,,,"{""chain_type"": ""\""across\"""", ""definition"": ""{}"", ""trials_per_node"": ""1"", ""participant_group"": ""\""default\""""}",graph_chain_network,22,t,experiment,f,{},{},graph_experiment,20,,,33,"[44, 3, 41, 9]","[{""vertex_id"": 33, ""content"": [0, 0, 0, 2, 1, 1, 1, 2, 2], ""is_center"": true}, {""vertex_id"": 44, ""content"": [2, 1, 0, 1, 0, 0, 1, 1, 2], ""is_center"": false}, {""vertex_id"": 3, ""content"": [0, 2, 2, 1, 2, 0, 0, 0, 0], ""is_center"": false}, {""vertex_id"": 41, ""content"": [1, 2, 2, 1, 0, 0, 0, 2, 2], ""is_center"": false}, {""vertex_id"": 9, ""content"": [2, 2, 0, 2, 1, 1, 2, 2, 2], ""is_center"": false}]",,
33,2023-04-10 21:02:09.889405,,,,,,f,,,"{""chain_type"": ""\""across\"""", ""definition"": ""{}"", ""trials_per_node"": ""1"", ""participant_group"": ""\""default\""""}",graph_chain_network,22,t,experiment,f,{},{},graph_experiment,20,,,41,"[0, 20, 33, 21]","[{""vertex_id"": 41, ""content"": [1, 2, 2, 1, 0, 0, 0, 2, 2], ""is_center"": true}, {""vertex_id"": 0, ""content"": [2, 2, 2, 0, 2, 0, 2, 0, 1], ""is_center"": false}, {""vertex_id"": 20, ""content"": [2, 0, 1, 1, 0, 0, 0, 1, 0], ""is_center"": false}, {""vertex_id"": 33, ""content"": [0, 0, 0, 2, 1, 1, 1, 2, 2], ""is_center"": false}, {""vertex_id"": 21, ""content"": [1, 2, 0, 0, 2, 1, 1, 2, 1], ""is_center"": false}]",,
27,2023-04-10 21:02:09.677308,,,,,,f,,,"{""chain_type"": ""\""across\"""", ""definition"": ""{}"", ""trials_per_node"": ""1"", ""participant_group"": ""\""default\""""}",graph_chain_network,22,t,experiment,f,{},{},graph_experiment,20,,,10,"[42, 0, 1, 29]","[{""vertex_id"": 10, ""content"": [0, 1, 1, 0, 1, 2, 1, 0, 0], ""is_center"": true}, {""vertex_id"": 42, ""content"": [0, 1, 2, 1, 1, 2, 1, 0, 0], ""is_center"": false}, {""vertex_id"": 0, ""content"": [2, 2, 2, 0, 2, 0, 2, 0, 1], ""is_center"": false}, {""vertex_id"": 1, ""content"": [2, 0, 2, 0, 2, 0, 0, 1, 1], ""is_center"": false}, {""vertex_id"": 29, ""content"": [0, 2, 1, 0, 2, 1, 1, 0, 0], ""is_center"": false}]",,
26,2023-04-10 21:02:09.631169,,,,,,f,,,"{""chain_type"": ""\""across\"""", ""definition"": ""{}"", ""trials_per_node"": ""1"", ""participant_group"": ""\""default\""""}",graph_chain_network,22,t,experiment,f,{},{},graph_experiment,20,,,8,"[23, 1, 34, 30]","[{""vertex_id"": 8, ""content"": [2, 1, 1, 1, 1, 0, 2, 2, 2], ""is_center"": true}, {""vertex_id"": 23, ""content"": [0, 2, 1, 1, 1, 0, 2, 2, 1], ""is_center"": false}, {""vertex_id"": 1, ""content"": [2, 0, 2, 0, 2, 0, 0, 1, 1], ""is_center"": false}, {""vertex_id"": 34, ""content"": [1, 0, 0, 2, 2, 2, 2, 0, 0], ""is_center"": false}, {""vertex_id"": 30, ""content"": [1, 2, 2, 1, 2, 1, 0, 0, 2], ""is_center"": false}]",,
28,2023-04-10 21:02:09.711832,,,,,,f,,,"{""chain_type"": ""\""across\"""", ""definition"": ""{}"", ""trials_per_node"": ""1"", ""participant_group"": ""\""default\""""}",graph_chain_network,22,t,experiment,f,{},{},graph_experiment,20,,,29,"[11, 10, 17, 22]","[{""vertex_id"": 29, ""content"": [0, 2, 1, 0, 2, 1, 1, 0, 0], ""is_center"": true}, {""vertex_id"": 11, ""content"": [2, 1, 1, 1, 1, 2, 2, 2, 1], ""is_center"": false}, {""vertex_id"": 10, ""content"": [0, 1, 1, 0, 1, 2, 1, 0, 0], ""is_center"": false}, {""vertex_id"": 17, ""content"": [0, 0, 1, 2, 0, 2, 2, 0, 0], ""is_center"": false}, {""vertex_id"": 22, ""content"": [2, 2, 2, 0, 0, 2, 2, 1, 0], ""is_center"": false}]",,
31,2023-04-10 21:02:09.81785,,,,,,f,,,"{""chain_type"": ""\""across\"""", ""definition"": ""{}"", ""trials_per_node"": ""1"", ""participant_group"": ""\""default\""""}",graph_chain_network,22,t,experiment,f,{},{},graph_experiment,20,,,30,"[6, 18, 8, 45]","[{""vertex_id"": 30, ""content"": [1, 2, 2, 1, 2, 1, 0, 0, 2], ""is_center"": true}, {""vertex_id"": 6, ""content"": [2, 0, 2, 0, 1, 0, 2, 0, 2], ""is_center"": false}, {""vertex_id"": 18, ""content"": [2, 1, 1, 0, 0, 0, 0, 2, 2], ""is_center"": false}, {""vertex_id"": 8, ""content"": [2, 1, 1, 1, 1, 0, 2, 2, 2], ""is_center"": false}, {""vertex_id"": 45, ""content"": [2, 2, 1, 0, 2, 1, 2, 0, 1], ""is_center"": false}]",,
